Code	Qty	Total Sell
SD001566-NY-XL	2.00	54.38
SD001717-BE-2X	1.00	18.99
SD001717-BE-L	1.00	18.99
SD001717-BE-M	4.00	75.96
SD001717-BE-S	2.00	37.98
SD001717-BE-XL	1.00	18.99
SD001717-BU-L	3.00	56.97
SD001717-CR-2X	2.00	37.98
SD001717-CR-L	1.00	18.99
SD001717-CR-M	5.00	94.95
SD001717-CR-XL	3.00	56.97
SD001717-FL-2X	1.00	18.99
SD001717-FL-L	1.00	18.99
SD001717-FL-M	3.00	56.97
SD001717-FL-S	3.00	56.97
SD001717-FL-XL	3.00	56.97
SD001717-KI-M	1.00	18.99
SD001717-KI-S	2.00	37.98
SD001717-KI-XL	1.00	18.99
SD001717-LG-L	3.00	56.97
SD001717-LG-M	4.00	75.96
SD001717-LG-S	2.00	37.98
SD001717-LG-XL	4.00	75.96
SD001717-NY-2X	2.00	37.98
SD001717-NY-M	4.00	75.96
SD001717-ON-2X	1.00	18.99
SD001717-ON-L	4.00	75.96
SD001717-ON-M	2.00	37.98
SD001717-ON-S	2.00	37.98
SD001717-ON-XL	2.00	37.98
SD001717-PP-L	4.00	75.96
SD001717-PP-M	2.00	37.98
SD001717-PP-S	2.00	37.98
SD001717-PP-XL	4.00	75.96
SD001717-RC-2X	1.00	18.99
SD001717-RC-L	2.00	37.98
SD001717-RC-M	4.00	75.96
SD001717-RC-S	2.00	37.98
SD001717-RC-XL	2.00	37.98
SD002202RE	21.00	24.33
SD002202SD	26.00	32.14
SD002206-CA-L	2.00	28.00
SD002206-CA-S	1.00	14.00
SD002206-PC-M	2.00	28.00
SD002206-PC-S	2.00	28.00
SD002206-PC-XS	1.00	14.00
SD002214-NY-S	1.00	15.00
SD002214-NY-XS	1.00	15.00
SD002214-WH-M	1.00	15.00
SD002214-WH-S	1.00	15.00
SD0030176BL	2.00	5.00
SD0030176ON	1.00	2.50
SD0030176RE	1.00	2.50
SD003300-NY-OSFA	2.00	72.00
SD003301-LI-3T	1.00	12.99
SD003301-LI-4T	2.00	25.98
SD003301-LW-2T	1.00	12.99
SD003301-LW-3T	3.00	38.97
SD003301-NY-2T	2.00	25.98
SD003301-PI-3T	3.00	38.97
SD003301-PI-4T	1.00	12.99
SD003301-RA-2T	3.00	38.97
SD003301-RA-4T	1.00	12.99
SD003301-WH-4T	1.00	12.99
SD003333-TD-OSFA	1.00	36.00
SD003587-BA-S	1.00	16.99
SD003587-BK-2X	1.00	16.99
SD003587-BK-S	2.00	33.98
SD003587-CO-M	2.00	33.98
SD003587-CO-S	1.00	16.99
SD003587-CO-XL	2.00	33.98
SD003587-HP-2X	1.00	16.99
SD003587-HP-L	1.00	16.99
SD003587-IR-L	2.00	33.98
SD003587-IR-M	3.00	50.97
SD003587-IR-S	1.00	16.99
SD003587-KL-L	2.00	33.98
SD003587-KL-S	1.00	16.99
SD003587-KL-XL	1.00	16.99
SD003587-TE-L	1.00	16.99
SD003587-TE-XL	1.00	16.99
SD003588-BK-2X	1.00	17.99
SD003588-BK-L	2.00	35.98
SD003588-GA-L	1.00	17.99
SD003588-GA-M	1.00	17.99
SD003588-HP-2X	1.00	17.99
SD003588-HP-S	4.00	71.96
SD003588-LB-L	3.00	53.97
SD003588-LB-S	4.00	71.96
SD003588-PI-L	1.00	17.99
SD003588-PI-M	4.00	71.96
SD003588-TQ-L	1.00	17.99
SD0035X70WH	3.00	80.97
SD003607-BK-M	2.00	33.98
SD003607-Cobalt-L	1.00	16.99
SD003607-Cobalt-S	1.00	16.99
SD003607-HP-L	1.00	16.99
SD003607-Heather-XL	1.00	16.99
SD003607-KL-S	3.00	50.97
SD003607-KL-XL	1.00	16.99
SD003607-RA-2X	1.00	16.99
SD003607-RA-M	1.00	16.99
SD003607-RA-XL	1.00	16.99
SD003607-RE-L	2.00	33.98
SD003607-RE-M	1.00	16.99
SD003607-RE-S	1.00	16.99
SD003607-RE-XL	3.00	50.97
SD003616-TD-L	1.00	14.99
SD003616-TD-XL	2.00	29.98
SD003902-PC-2X	1.00	7.99
SD003902-PC-L	1.00	7.99
SD003902-RA-M	1.00	7.99
SD003902-RE-XL	1.00	7.99
SD004200-BK-L	4.00	19.96
SD004200-BO-L	2.00	9.98
SD004200-NY-L	2.00	9.98
SD004200-ON-L	5.00	24.95
SD004200-PS-L	5.00	24.95
SD004200-RO-L	3.00	14.97
SD004200-SR-L	1.00	4.99
SD0045X70GR	1.00	38.99
SD0045X70PS	1.00	38.99
SD005012SC	4.00	23.96
SD005100RE	1.00	2.99
SD005180-6A-L	2.00	32.00
SD005180-6A-M	3.00	48.00
SD005180-6A-S	6.00	96.00
SD005180-AB-M	3.00	48.00
SD005180-AB-S	3.00	48.00
SD005180-AB-XL	1.00	16.00
SD005180-AX-L	1.00	16.00
SD005180-AX-S	1.00	16.00
SD005180-BK-2X	1.00	16.00
SD005180-BK-L	1.00	16.00
SD005180-BK-M	1.00	16.00
SD005180-BK-S	1.00	16.00
SD005180-BK-XL	3.00	48.00
SD005180-CD-L	3.00	48.00
SD005180-CD-M	1.00	16.00
SD005180-CD-S	1.00	16.00
SD005180-CD-XL	3.00	48.00
SD005180-DM-2X	3.00	48.00
SD005180-DM-L	5.00	80.00
SD005180-DM-M	2.00	32.00
SD005180-DM-S	1.00	16.00
SD005180-DM-XL	3.00	48.00
SD005180-FT-L	1.00	16.00
SD005180-FT-S	1.00	16.00
SD005180-FT-XL	1.00	16.00
SD005180-HL-L	4.00	64.00
SD005180-HL-M	2.00	32.00
SD005180-HL-S	1.00	16.00
SD005180-LI-L	3.00	48.00
SD005180-LI-M	2.00	32.00
SD005180-LI-XL	1.00	16.00
SD005180-LW-2X	1.00	16.00
SD005180-LW-L	1.00	16.00
SD005180-LW-M	1.00	16.00
SD005180-LW-S	1.00	16.00
SD005180-LW-XL	4.00	64.00
SD005180-NY-2X	1.00	16.00
SD005180-NY-M	6.00	96.00
SD005180-NY-S	2.00	32.00
SD005180-NY-XL	6.00	96.00
SD005180-PR-2X	3.00	48.00
SD005180-PR-L	2.00	32.00
SD005180-PR-M	4.00	64.00
SD005180-PR-XL	1.00	16.00
SD005180-PS-M	2.00	32.00
SD005180-PS-S	2.00	32.00
SD005180-RE-L	2.00	32.00
SD005180-RE-M	2.00	32.00
SD005180-RE-S	2.00	32.00
SD005180-RE-XL	1.00	16.00
SD005180-RO-L	1.00	16.00
SD005180-RO-M	1.00	16.00
SD005180-RO-S	1.00	16.00
SD005180-TE-2X	3.00	48.00
SD005180-TE-L	2.00	32.00
SD005180-TE-M	1.00	16.00
SD005180-TE-S	3.00	48.00
SD005180-TE-XL	2.00	32.00
SD005180-WH-2X	4.00	40.00
SD005180-WH-L	14.00	140.00
SD005180-WH-M	5.00	50.00
SD005180-WH-S	10.00	100.00
SD005180-WH-XL	3.00	30.00
SD005180-YE-2X	1.00	16.00
SD005180-YE-L	1.00	16.00
SD005180-YE-S	2.00	32.00
SD005180-YE-XL	3.00	48.00
SD005180-YO-2X	0.00	0.00
SD005180-YO-L	2.00	32.00
SD005180-YO-M	1.00	16.00
SD005180-YO-S	1.00	16.00
SD005180-YO-XL	1.00	16.00
SD005186-BK-M	1.00	19.99
SD005186-BK-S	1.00	19.99
SD005186-BK-XL	2.00	39.98
SD005186-LB-L	1.00	19.99
SD005186-LB-S	3.00	59.97
SD005186-LW-L	1.00	19.99
SD005186-LW-M	0.00	0.00
SD005186-LW-S	1.00	19.99
SD005186-NY-S	2.00	39.98
SD005186-PI-L	1.00	19.99
SD005186-RE-M	2.00	39.98
SD005186-RE-S	1.00	19.99
SD005186-RO-L	2.00	39.98
SD005186-RO-M	3.00	59.97
SD005186-WH-S	2.00	39.98
SD005186-WH-XL	1.00	19.99
SD005380-6A-M	1.00	14.00
SD005380-6A-S	3.00	42.00
SD005380-6A-XS	2.00	28.00
SD005380-AX-M	3.00	42.00
SD005380-AX-S	5.00	70.00
SD005380-AX-XS	3.00	42.00
SD005380-LI-L	1.00	14.00
SD005380-LI-M	5.00	70.00
SD005380-LI-S	3.00	42.00
SD005380-LI-XS	2.00	28.00
SD005380-LW-L	2.00	28.00
SD005380-LW-M	2.00	28.00
SD005380-LW-S	2.00	28.00
SD005380-NY-M	2.00	28.00
SD005380-PI-L	1.00	14.00
SD005380-PI-XS	3.00	42.00
SD005380-PR-L	5.00	70.00
SD005380-PR-S	2.00	28.00
SD005380-PS-M	1.00	14.00
SD005380-PS-XS	2.00	28.00
SD005380-RE-L	1.00	14.00
SD005380-RE-M	2.00	28.00
SD005380-RE-S	3.00	42.00
SD005380-RO-L	3.00	42.00
SD005380-RO-M	4.00	56.00
SD005380-RO-S	1.00	14.00
SD005380-RO-XS	1.00	14.00
SD005380-TE-L	1.00	14.00
SD005380-TE-M	5.00	70.00
SD005380-TE-S	1.00	14.00
SD005380-TE-XS	3.00	42.00
SD005380-WH-L	3.00	30.00
SD005380-WH-M	1.00	10.00
SD005380-WH-S	4.00	40.00
SD005380-WH-XS	2.00	20.00
SD005380-YO-L	3.00	42.00
SD005380-YO-S	1.00	14.00
SD005380-YO-XS	2.00	28.00
SD00600-RE-OSFA	2.00	25.98
SD006014-CR-L	3.00	65.97
SD006014-CR-M	2.00	43.98
SD006014-CR-S	3.00	65.97
SD006014-CR-XL	1.00	21.99
SD006014-LG-2X	1.00	21.99
SD006014-LG-L	2.00	43.98
SD006014-LG-S	2.00	43.98
SD006014-NY-2X	1.00	21.99
SD006014-NY-L	1.00	21.99
SD006014-NY-M	2.00	43.98
SD006014-NY-S	1.00	21.99
SD006014-ON-XL	2.00	43.98
SD006014-PP-L	3.00	65.97
SD00831G	15.00	0.00
SD00831WH	2.00	4.00
SD00831WHSS	1.00	0.93
SD00832WHDLL	2.00	1.98
SD008TCALL	4.00	7.96
SD00923R-WH-L	2.00	33.98
SD00923R-WH-M	1.00	16.99
SD00923R-WH-S	1.00	16.99
SD00B100-LB-12M	1.00	12.99
SD00B100-PI-12M	2.00	25.98
SD00B100-PI-6M	1.00	12.99
SD00B100-WH-12M	2.00	25.98
SD00B100-WH-18M	1.00	12.99
SD00B100-WH-6M	2.00	25.98
SD00B807-HL-M	3.00	67.17
SD00B807-HL-S	1.00	22.39
SD00B807-HL-XL	1.00	22.39
SD00BKUSNY	3.00	8.97
SD00BKUSPI	1.00	2.99
SD00CRCUSBK	3.00	14.97
SD00CRCUSRE	5.00	24.95
SD00CRCUSWI	1.00	4.99
SD00CSWBIGBL	6.00	11.94
SD00CSWBIGGR	3.00	5.97
SD00CSWBIGPR	2.00	3.98
SD00CSWBIGPS	2.00	3.98
SD00F170-LW-2X	1.00	31.99
SD00F170-LW-M	1.00	25.59
SD00F170-LW-S	1.00	25.59
SD00F170-RE-XL	1.00	25.59
SD00F260-HL-2X	1.00	23.19
SD00F260-HL-L	1.00	23.19
SD00F260-HL-M	1.00	23.19
SD00F260-HL-S	5.00	115.95
SD00F260-LW-L	1.00	23.19
SD00F260-LW-M	1.00	23.19
SD00F260-LW-S	2.00	46.38
SD00F260-NY-M	2.00	46.38
SD00F260-NY-S	2.00	46.38
SD00F260-NY-XL	1.00	23.19
SD00F260-RE-S	1.00	23.19
SD00F260-WH-L	1.00	23.19
SD00F260-WH-M	1.00	23.19
SD00F260-WH-S	2.00	46.38
SD00HF42-NY-L	1.00	31.99
SD00HF42-SC-L	2.00	63.98
SD00IFR3BL	3.00	5.97
SD00JWLBL	2.00	1.50
SD00JWLGR	3.00	2.25
SD00JWLRE	1.00	0.75
SD00P170-PI-L	2.00	51.18
SD00P360-NY-XS	2.00	25.58
SD00P360-PI-S	1.00	12.79
SD00P360-WH-L	2.00	25.58
SD00P4A3A100	1.00	3.25
SD00PCJ	2.00	1.00
SD00PSTHHI	2.00	32.00
SD00SL04-8I-L	1.00	16.00
SD00SL04-8I-M	3.00	48.00
SD00SL04-AB-M	1.00	16.00
SD00SL04-NY-M	2.00	32.00
SD00SL04-PS-2X	1.00	16.00
SD00SL04-TE-XL	1.00	16.00
SD00SL04-WH-S	3.00	30.00
SD00SL04-YO-L	1.00	16.00
SD00SQKTOY	1.00	7.99
SD00T042BL-BL-OSFA	4.00	15.96
SD00T139	9.00	44.91
SD02296-NY-M	1.00	15.19
SD02296-NY-XS	1.00	15.19
SD02296-RA-M	1.00	15.19
SD02296-RA-S	1.00	15.19
SD03401-Light Blue-24M	1.00	12.99
SD03401-Light Pink-12M	1.00	12.99
SD03401-Light Pink-18M	1.00	12.99
SD035PRPP	5.00	7.50
SD06210-Gray-L/XL	2.00	35.98
SD06210-Gray-S/M	4.00	71.96
SD06377-Navy-L/XL	1.00	17.99
SD0G1092-NY-S	1.00	31.19
SD0G1092-NY-XL	2.00	62.38
SD0HY801-PS-OSFA	2.00	33.98
SD0M1276CO	7.00	48.93
SD0M1276ON	4.00	27.26
SD0TAFFYASBG	8.00	55.92
SD0TAFFYPMBG	4.00	27.96
SD1000TD-BJ-L	2.00	39.98
SD1000TD-BJ-S	3.00	59.97
SD1000TD-BJ-XL	1.00	19.99
SD1000TD-TD-L	1.00	19.99
SD1000TD-TD-S	8.00	159.92
SD1000YTD-BJ-L	2.00	39.98
SD1000YTD-BJ-M	1.00	19.99
SD1000YTD-BJ-S	2.00	39.98
SD1000YTD-BJ-XS	1.00	19.99
SD1000YTD-TD-L	2.00	39.98
SD1000YTD-TD-M	2.00	39.98
SD1000YTD-TD-S	4.00	79.96
SD5180DDY-AX-M	1.00	14.00
SD5180DDY-AX-S	1.00	14.00
SD5180DDY-AX-XL	1.00	14.00
SD5180DDY-LI-L	2.00	28.00
SD5180DDY-LI-M	1.00	14.00
SD5180DDY-LI-XL	1.00	14.00
SD6524001RE	1.00	2.99
SD6524005SI	1.00	2.99
SD7007 - Navy - Youth	1.00	12.99
SD7007 - Red - Youth	2.00	25.98
SD8153JHP-HP-M	2.00	39.98
SD8153JHP-HP-XL	2.00	39.98
SD8872HZ-BK-L	1.00	23.99
SD9018DD-CB-L	1.00	14.00
SD9018DD-CB-XS	1.00	14.00
SD9309285YE	4.00	27.96
SDC47MES - Navy - Adult	3.00	56.97
SDC47MES - Red - Adult	2.00	37.98
SDC47MES - Sage - Adult	7.00	132.93
SDC47PD4 - Bone/Black - Adult	1.00	16.99
SDC47PD4 - Khaki/Navy - Adult	1.00	16.99
SDC5444-BK-M	1.00	22.99
SDC5444-BK-S	1.00	22.99
SDC5444-RO-2X	1.00	22.99
SDC65MT3-Black-Adult	1.00	14.99
SDC65MT3-White-Adult	1.00	14.99
SDC66PD3 - Peri - Adult	1.00	14.99
SDC66PD3-Green-Adult	1.00	14.99
SDC71PD5 - Khaki - M/L	1.00	15.99
SDC79M - Khaki - L/XL	1.00	18.99
SDC79M - Khaki - M/L	2.00	37.98
SDC79M - Navy - M/L	3.00	56.97
SDCFW115 - Camo - Adult	3.00	50.97
SDCR14-Red-OSFA	1.00	2.99
SDDCNYOYO	4.00	15.96
SDDD2135-RO-OSFA	1.00	6.99
SDE29MS1 - Black - Adult	1.00	18.99
SDE47MT2 - Bone - Adult	1.00	16.99
SDE47MT2 - Cadet - Adult	1.00	16.99
SDE47MT2 - Khaki - Adult	3.00	50.97
SDE47MT2 - Red - Adult	2.00	33.98
SDE47MT2 - White - Adult	1.00	16.99
SDG7081-FI-M	1.00	38.39
SDG7353-BK-L	2.00	62.38
SDG7353-RO-L	1.00	38.99
SDHD229-YE-L	1.00	22.99
SDHSIS6OZ	5.00	24.95
SDK42WTH - White/Bubblegum	2.00	33.98
SDK45CA4 - Bubblegum - Adult	2.00	33.98
SDK45CA4 - Lime - Adult	1.00	16.99
SDK45CA4 - Sorbet - Adult	2.00	33.98
SDK45CA4 - Spray - Adult	2.00	33.98
SDK45CA4 - White - Adult	1.00	16.99
SDK47MCR-White/Black-Adult	3.00	50.97
SDKOOZIEBL	3.00	8.97
SDKOOZIERE	1.00	2.99
SDMG5250BL	4.00	39.96
SDMGCS30JAKE	2.00	3.00
SDMGCS30LOGO	5.00	7.50
SDNW4209-RO-OSFA	1.00	4.50
SDORNAMENT-RE-OSFA	9.00	71.91
SDORNAMENT-RO-OSFA	1.00	7.99
SDPICFRAME	1.00	16.99
SDPILSNR16	9.00	49.41
SDPOOLTYBK	5.00	9.95
SDSCRBLLYE	3.00	42.00
SDSFLY10TOR	3.00	13.50
SDSIPCUP9OZ	7.00	27.93
SDSJS6OZ	2.00	14.00
SDSSF4315WH	1.00	2.99
SDSTAMPPSTGE	1.00	0.46
SDTODDLERBH-PR-Youth	2.00	30.00
SDV68WT1 - Navy - Adult	1.00	14.99
SDV68WT1-Lavender-Adult	1.00	14.99
SDV68WT2 - White/Black - Adult	2.00	29.98
SDW508WH	3.00	7.50
SDWBH2GO-Aqua	2.00	17.98
SDWBH2GO-Red	1.00	8.99
SDX47MT2 - Navy - Adult	1.00	16.99
SDXS776B-NY-XS	2.00	9.98
SDXS776B-PS-XS	1.00	4.99
SDXS776B-RE-XS	2.00	8.73
SDY66WT2 - Royal - Youth	2.00	25.98
SDY66WT2- Azalea - Youth	4.00	51.96
SDY66WT2-Orange-Youth	1.00	12.99
SDY71PD7 - Pink - M/L	1.00	15.00
SDYY47MT - Azalea - Youth	4.00	56.00
SDYY47MT - Comet - Youth	2.00	28.00
SDYY47MT - Green - Youth	3.00	42.00
SDYY47MT - Navy - Youth	3.00	42.00
SDYY47MT - Red - Youth	2.00	28.00
SDYY47MT-Khaki-Youth	2.00	28.00
SP2623GL-LW-L	1.00	10.99
SP2623GL-LW-M	2.00	21.98
SP2623GL-LW-S	3.00	32.97
SP2623GL-LW-XS	1.00	10.99
SP2623GL-RA-S	1.00	10.99
SP2623GL-RA-XS	2.00	21.98
SP2623GL-WH-L	1.00	10.99
SP2623GL-WH-M	1.00	10.99
SP2623GL-WH-S	1.00	10.99
SP2623GL-WH-XS	1.00	10.99
SP5180GJ-BM-2X	1.00	14.00
SP5180GJ-BM-XL	1.00	14.00
SP5180GJ-DY-S	2.00	28.00
SP5180LG-GN-M	1.00	14.00
SP5180LG-GN-XL	3.00	42.00
SP5180LG-IY-XL	2.00	28.00
SP5180PD-NY-L	3.00	42.00
SP5180PD-NY-M	1.00	14.00
SP5180PD-NY-XL	1.00	14.00
SP5180PD-RE-S	2.00	28.00
SP5180PD-RE-XL	3.00	42.00
SP5180RC-WU-S	1.00	14.00
SP5180RD-WH-L	0.00	0.00
SP5180RD-WH-XL	2.00	28.00
SP5180SP-KG-2X	2.00	28.00
SP5180SP-KG-L	1.00	14.00
SP5180SP-KG-M	1.00	14.00
SP5180SP-KG-XL	2.00	28.00
SP5332JT-Cosmic Pink-L	1.00	15.99
SP5332JT-Cosmic Pink-M	1.00	15.99
SP5380PD-NY-L	2.00	28.00
SP5380PD-RE-S	1.00	14.00
SP5380RD-WH-L	1.00	14.00
SP5380RD-WH-M	2.00	28.00
SPSL04PL-6A-L	1.00	14.00
SPSL04PL-6A-S	2.00	28.00
SPSL04PL-6A-XL	2.00	28.00
SPSL04PL-AB-L	1.00	14.00
SPSL04PL-NY-2X	1.00	14.00
SPSL04PL-NY-S	4.00	56.00
SPSL04PL-NY-XL	1.00	14.00
TERVISWATER1	1.00	24.99
